competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,Normal Move Count
CubingatTheCube2026,1,G,0,3,U R F R F U F U' R U' R,9
RutaCuberaJaenOpen2025,1,A,0,5,U F U F R U R' U2 F U R,9
BasauriOpen2025,1,A,0,1,U R F U F R U R' U' R U,9
WarsawCubeMasters2018,d,B,0,2,U2 R F U R F U2 F R U R,9
CyprusCubeFest2017,f,B,0,5,U R U' F R' F U F R U R,9
SwisscubingCupIII2017,f,A,1,1,U R' U F R U R' U F U R,9
LongIslandWinter2019,1,A,0,3,U R' F U F R F U' R U R,9
CUBIFMA2018,1,A,0,4,U R F U' F R U F U' F R,9
RiverHillSpring2019,f,E,1,1,U R' U F U' F R F R U R,9
BeijingSpringPM2021,d,C,0,5,F R U R U' F U2 F R U R,9
IINovaCarapinaChallenge2025,1,A,1,2,U F U F R U R' U' R U R,9
MichiganMayMadness2014,1,B,0,1,U R F U F U' F R U R U',9
SpeedcuberPeruILima2023,f,A,1,2,R' F R U R U2 F R F R U,9
