competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,Prime Move Count
KobeOpen2018,d,B,1,1,U' F' R2 F' U' F' R' U' R' U' R,9
MITFall2014,1,B,0,1,R' F' R' U' R U' R' F R' U' F',9
HsinchuSummerOpen2025,1,G,0,2,U' R' U' F R2 U' R' U' R' F' R',9
ManchesterWinter2024,d,A,0,1,R' F' U' R2 U' R' U' R' U' F' U2,9
SPBWinter2016,f,B,0,4,R' F' U' F' U' F U' R F' U' R',9
ChanteloupOpen2025,1,C,1,2,R' U' F' R2 U' R' F' U' R U' R',9
EdinburghWinter2025,1,A,1,2,R' U' F' U' F' U' R2 F' R' U2 R',9
TaiwanOpen2022,1,C,0,5,U' R' F' U' F2 R2 F' R' U' R' U',9
XianSummer2025,d,A,1,1,R' F' R2 U' R' F' R' U' R F' R',9
MuggioSpring2026,1,A,1,2,U2 R' F' R2 U' R' U' R' U' R' U',9
BONDOpen2017,1,B,1,1,F' R2 U' R' U' R U' F' R' U' R',9
OKCHolidayWeeknight2025,2,A,1,2,U' R' F' U' R2 U' R' U2 R' U' R',9
BrainStudioCubeOpen2015,f,A,0,4,U' R' F R2 U' R' U' R' U' R' U',9
BangaloreCubeFestB2024,c,A,0,5,U' R' U' F U' F' U' R2 F' U' R',9
VirginiaOpenWinter2017,1,B,0,3,U' R' F' U' F R2 U' F' R' U' R',9
LyonLastLayer2025,1,A,0,2,U' R' U' F U' R2 U' R' F' U' F',9
WelcomeBackToGuildford2015,1,C,1,2,U' R' F' U' F' R2 F' U' F' U' R2,9
ABHC2023,d,D,1,1,R F' U' F' U' R' U' R' F' U' R2,9
Pocoes2019,f,B,0,3,U' R' U' F' R' F U' F' R U' R',9
CubeFactoryLeagueRogow2025,2,B,0,4,R' F' U' R F' R' U R' U' F' U',9
WeekendCubingAIsrael2024,1,C,1,2,U' R' U' F' U' F U' F' U' R2 F',9
OculusCubeOpen2019,1,E,0,3,U' R' U' R' F' U' R U2 R' U' F',9
NewarksOnTrack2023,1,B,0,5,R' F' U' F' R2 F' R' U2 R' F' U',9
CubersEastIndiaOpen2017,1,A,1,2,U' R' U' R' F' U2 F' U' R2 U' R',9
SpeedsolvingSakura2017,1,B,0,2,R F' R' U' R' U' F' U' R' F U',9
MidSummerMadnessCapeTown2024,d,B,0,1,U' R' U' R U' R F' R' F' R' U',9
TamanAnggrekSpeedcubing2023,d,C,1,1,R' U' R F' R' U' R' U' F2 U' R',9
MBAFebruary2025,1,A,0,5,U' R' F' U2 F' U' R' U' R2 F' U',9
ChristmasCube2017,1,C,1,2,R U' R' U' R U' F' R' U' R' U',9
SanDiegoSummer2019,1,A,0,3,U R' F' U' F' R2 F' U' R' U' R',9
