competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,Half Turn Count
Cubetoberfest2015,2,A,0,5,U2 R U2 R2 U2 R2 F' R2 U2 F R2,8
PBsinPalisadesOpen2025,1,B,0,2,U2 R' F U2 R2 U2 R2 U2 F' R2 U2,8
GACubersGreetings2022,1,A,0,5,U2 R2 U' F U2 R2 U' R2 U2 R2 U2,8
GuateMayaOpen2016,1,H,1,1,U2 R U2 R2 F R2 U2 R2 U2 R U2,8
NilvangeOpen2025,1,B,0,5,U2 R' U2 R2 U2 R2 F U2 R2 U' R2,8
IrunaOpen2023,1,D,0,4,R U2 R2 F2 U' R2 U2 R2 U2 R U2,8
SacCubingVI2019,d,B,0,5,R U2 R2 F U2 R2 U2 R2 U2 R U2,8
SwissScienceOpen2024,f,C,1,1,R' F2 U2 R2 U2 R2 F U' R2 U2 R2,8
NexusMonsoonOpen2022,1,H,0,5,R2 U' R2 F U2 F2 U2 R2 U2 R' U2,8
CubingKazakhstanNationals2025,f,B,1,1,U2 R' U2 R2 U' R2 U2 R' F2 R2 U2,8
CultAWayCubeOpen2018,1,E,0,1,U2 R U2 R2 F R2 U2 R2 U2 F U2,8
CubingClassic2017,2,B,0,3,U2 R U2 R2 U2 F U' F2 U2 R2 U2,8
GemCityWarmUpOH2025,1,C,0,1,R U2 R2 F U2 R2 U2 R2 U2 R2 U',8
ParlaOpen2022,f,A,0,1,U2 R' F2 R2 U2 R2 U' F U2 R2 U2,8
MichiganChampionship2024,1,E,0,5,R' U2 F2 U2 R2 U2 R2 U' F' R2 U2,8
PaladiamanteOpen2022,f,B,0,1,U2 R U2 R2 U2 F R2 U2 R2 U2 R,8
SouthLuzonChampionship2022,c,B,1,2,U2 R2 U' R2 F R2 U2 R2 U2 F U2,8
MariborOpen2026,2,A,0,1,R' U2 R2 U2 R2 U2 F U2 F R2 U2,8
LetsCubeLongBeach2025,2,A,0,1,R U2 R2 U' F2 R2 U2 R2 U2 F R2,8
PragueSummerOpener2024,1,A,1,2,U2 R' U2 R2 U' F' U2 R2 U2 R2 U2,8
BerkeleyFall2017,d,G,0,3,U2 R U2 R2 F2 U2 F R2 U' R2 U2,8
MaltaEndofSummer2025,f,B,0,2,U2 F2 U2 F R2 U' R2 U' R2 U2 R2,8
FlashbackCollectorMetz2024,1,C,0,5,R' U2 R2 U' R2 F U2 R2 U2 R2 U2,8
UzbekistanNationals2023,1,A,0,4,R' U2 F' U2 R2 U2 R2 F U2 R2 U2,8
