competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,optimal_solution
SJTUWinterOpen2018,6.33,d,D,0,1,U2 R2 U2 F U' R U R' F R2 U2,7, R F2 R F2 U F2 U'
SJTUWinterOpen2018,6.33,d,D,0,2,U' R2 U' R2 U' R U2 R' U' R2 F',10, F U R F U2 F U2 R' F' U2
SJTUWinterOpen2018,6.33,d,D,0,3,R U' F' U' R' U' R F' U2 R' U,5, F' R' U' R2 F
SJTUWinterOpen2018,6.33,d,D,0,4,U2 R U' R2 U2 F R U' R' U' R,6, U' R F' R F U'
SJTUWinterOpen2018,6.33,d,D,0,5,R U' R2 U' R U' R2 U F U' R2,10, F U2 F R' F' U2 F R' F U'
SJTUWinterOpen2018,6.33,d,D,1,1,U' R2 U2 F U2 R2 U' F' R' U' R',6, F' R U R F2 U'
SJTUWinterOpen2018,6.33,d,D,1,2,R U' R2 F R U R' F U' R' U',9, R' F2 R' F R F2 U2 F' R
CampeonatoAmazonense2025,6.67,f,C,0,1,R2 U2 R' U R' F U' F R2 U' R2,9, U F2 R' U F2 U' R2 U F2
CampeonatoAmazonense2025,6.67,f,C,0,2,R' U' F U' F' U' F U2 R U R,6, R' F' U' F' U F
CampeonatoAmazonense2025,6.67,f,C,0,3,U' R' F U' F R U' R' U2 F U',6, U F' U' F' U R
CampeonatoAmazonense2025,6.67,f,C,0,4,U2 R' F' R U' F U' R2 U2 F U',9, R2 F R F2 R2 F R F2 R2
CampeonatoAmazonense2025,6.67,f,C,0,5,U2 R' U' R U2 F U' R2 U' R' U',8, F2 U2 R' U R' U R2 F2
CampeonatoAmazonense2025,6.67,f,C,1,1,U R2 F U' R U R' U2 F U R,8, R F' R2 U' R2 U R' F2
CampeonatoAmazonense2025,6.67,f,C,1,2,R F' U2 R2 U2 F U2 R U2 R2 U2,6, R2 F2 U2 R U2 R'
MaltaEndofSummer2025,6.67,f,A,0,1,R F' R2 F' U' R2 U2 R2 U2 R U2,7, U2 R U' F R2 F R'
MaltaEndofSummer2025,6.67,f,A,0,2,F R2 U2 R' U R U2 R2 U' F U',10, F' R2 F R U2 F R2 F2 R U2
MaltaEndofSummer2025,6.67,f,A,0,3,F U' R U' R' U2 F' R2 U' R2 U2,7, U2 R F2 U' F' R' F'
MaltaEndofSummer2025,6.67,f,A,0,4,R' U2 F' R U' F' R U R U' R',6, U' R2 F' R F' U2
MaltaEndofSummer2025,6.67,f,A,0,5,U' R F' R2 U' R U2 R U2 F' U2,9, F' U R2 F2 U' R U2 F2 R
MaltaEndofSummer2025,6.67,f,A,1,1,R' U2 F U' R F R U' R' F U,6, F R F' R2 U' F2
