competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_layer,optimal_solution
HonoluluHPermHoike2023,2.4,1,B,3,U2 R' U' R U' R U' R2 F' R' U',2, U R U2 R2 U' F' R U' F'
HonoluluHPermHoike2023,2.4,1,B,4,F U2 R2 U' F' U' R2 U' R U' R',2, R' U2 R' F' R U' F U2
HonoluluHPermHoike2023,2.4,1,B,5,U2 R' F' U' F U F U' R U R',2, U2 F' U F2 U2 F U' R U'
SzokolyaOpen2023,2.4,2,A,1,U F' R U2 R U2 R2 F U F U',3, F U' F' U F2 U' R F U'
SzokolyaOpen2023,2.4,2,A,2,R F' R' U2 R' U2 R' F' U2 R2 U2,0, F U R2 U2 R' F2 R U' F2 U
SzokolyaOpen2023,2.4,2,A,3,U' R' F R U2 R' F U2 R' F R,4, F' R2 U F' U' F' R F
SzokolyaOpen2023,2.4,2,A,4,U' R' F U2 F' R U R F' R' U,4, U' R F R' F R' U2 R F'
SzokolyaOpen2023,2.4,2,A,5,U' R U2 R' U2 R' U2 R U' R2 U2,1, R U' F U2 F2 R2 U F U
TroyStory2023,2.4,1,C,1,R U2 F U F R U' R' U' R U,3, F U' R2 F' R2 F R U2 R'
TroyStory2023,2.4,1,C,2,U' R' U' F' R2 F' U2 F' R' U' R,1, F U F R2 F U R2 U F
TroyStory2023,2.4,1,C,3,U2 F U' F R U R' U' R U' R2,3, F U R' U2 R U2 R' U R F2
TroyStory2023,2.4,1,C,4,F R' F' R2 F' R' U R U' R' U,3, F U2 R2 F' U R' U2 F2 U R
TroyStory2023,2.4,1,C,5,R' U' R2 F R U' R' U2 R' U F,2, F U' R2 U R U2 R U2 R F
SNUOpen2017,2.4,2,A,1,R' F' U2 F U' F2 U' F R U R,3, F' R' U2 R F R2 U F2
SNUOpen2017,2.4,2,A,2,R U' R F' R' U' R U' R' U2 R',3, R F' R2 F' U' F2 R2
SNUOpen2017,2.4,2,A,3,R U' R' U R' F' R2 U' R2 F' U',3, F R' U' R F2 R' U2
SNUOpen2017,2.4,2,A,4,R U2 R' U2 R' F2 U2 F U' R' U',1, R' U' F' U R2 F' R U2 R'
SNUOpen2017,2.4,2,A,5,R' U' R U' F U2 R2 F' U' R2 F,2, U2 F' R' F R' U F2 U R2
HowlandHighSpring2017,2.4,d,E,1,R' F R F2 U' R U R U' R' U',4, R' U' R U2 F2 R' F' R
HowlandHighSpring2017,2.4,d,E,2,R' F U' F U R U2 R' F R' U,2, U2 F' U' F' R2 F U F2 U R2
HowlandHighSpring2017,2.4,d,E,3,U' R' U2 F R2 U' F' R' U2 R2 F,4, F U' R F2 U2 R F' U' R'
HowlandHighSpring2017,2.4,d,E,4,U R' F2 R U' F R U' R F' R2,1, F2 R' U R2 U' R F U2 F2
HowlandHighSpring2017,2.4,d,E,5,U2 R F' R' U R F R U R' U',1, F U2 R U2 R F U R
