competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,csp_slicecount,csp_solution
DebicaCubingWinter2026,3.0,c,B,1,"(0,-1) / (0,-3) / (6,-3) / (-2,-5) / (-3,0) / (2,-3) / (3,0) / (1,-3) / (-1,0) / (5,0)",2,"(1,3)/(6,-3)/"
DebicaCubingWinter2026,3.0,c,B,2,"(3,-1) / (1,-2) / (3,-3) / (2,-1) / (-3,0) / (-2,0) / (3,0) / (3,0) / (-5,-3)",3,"(2,-3)/(-3,0)/(3,6)/(2,-2)"
DebicaCubingWinter2026,3.0,c,B,3,"(0,2) / (-3,-3) / (3,0) / (4,-5) / (0,-3) / (-4,-4) / (-5,0) / (-3,-3) / (-3,0) / (-4,-2) / (-4,0) / (0,-2) /",4,"(0,2)/(4,0)/(1,-4)/(3,3)/(2,-2)"
DebicaCubingWinter2026,3.0,c,B,4,"(-5,0) / (6,3) / (-4,-1) / (-2,-5) / (3,-3) / (5,-3) / (0,-3) / (-2,-3) / (0,-2) / (-4,0) / (0,-2) /",5,"(6,0)/(-4,-2)/(4,0)/(1,-4)/(3,0)/(2,-2)"
DebicaCubingWinter2026,3.0,c,B,5,"(1,0) / (3,3) / (2,-1) / (3,0) / (-5,-2) / (5,0) / (0,-3) / (-3,-3) / (-3,0) /",1,"(3,-3)/"
PhoenixCubeChampionship2018,3.0,f,B,1,"(1,-3) / (0,-3) / (-4,-4) / (-2,-5) / (2,-4) / (-3,-5) / (0,-3) / (3,0) / (-3,0)",2,"(3,-3)/(3,0)/(2,-2)"
PhoenixCubeChampionship2018,3.0,f,B,2,"(-5,3) / (-3,3) / (2,-1) / (3,-3) / (3,0) / (1,0) / (-3,0) / (5,0) / (4,0) / (-4,-3) / (0,-4) / (-4,0) / (0,-2)",5,"(0,-2)/(4,0)/(3,-2)/(1,2)/(6,-3)/"
PhoenixCubeChampionship2018,3.0,f,B,3,"(0,-1) / (4,-2) / (0,3) / (3,0) / (-3,0) / (-1,-4) / (-2,-3) / (-3,0) / (5,0) / (-3,0)",2,"(-3,1)/(3,0)/"
PhoenixCubeChampionship2018,3.0,f,B,4,"(-5,0) / (-3,0) / (-4,5) / (-2,-5) / (-3,0) / (5,-4) / (0,-5) / (3,0) / (-3,-3) /",1,"(6,-3)/(2,-2)"
PhoenixCubeChampionship2018,3.0,f,B,5,"(0,2) / (-2,4) / (-4,5) / (-3,0) / (-5,-5) / (3,0) / (-1,0) / (-3,0) / (-2,-1) / (2,0) / (3,0) / (-4,0)",5,"(4,0)/(-3,0)/(-2,0)/(2,1)/(3,0)/"
