competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,cspobl_slicecount,cspobl_solution
AbruzzoalCubo2025,5.33,c,B,1,2,"(4,0) / (6,3) / (3,0) / (0,-3) / (-1,-1) / (1,-3) / (0,-3) / (3,0) / (4,0) / (-4,-2)",5,"(4,2)/(2,3)/(0,3)/(3,-1)/(-2,-5)/(2,0)"
NinosHeroesJalisco2024,5.33,f,A,0,1,"(0,-1) / (1,1) / (3,0) / (5,-4) / (-3,0) / (-2,-2) / (0,-1) / (0,-3) / (5,-3) / (6,-3)",4,"(-2,3)/(0,-3)/(5,0)/(-5,-5)/(2,0)"
NinosHeroesJalisco2024,5.33,f,A,0,2,"(4,0) / (3,0) / (-4,-1) / (-5,-2) / (0,-3) / (-1,-3) / (0,-3) / (0,-1) / (3,-2) / (-2,0) / (-3,0) / (-2,-3) / (3,0)",8,"(2,1)/(1,-2)/(-1,0)/(0,2)/(1,-4)/(3,3)/(3,-2)/(5,2)/(3,-2)"
NinosHeroesJalisco2024,5.33,f,A,0,3,"(-3,-4) / (-3,3) / (1,-2) / (0,-3) / (-1,-4) / (-2,-3) / (0,-3) / (-1,-3) / (-5,-5) / (-4,0) / (2,0)",4,"(-2,3)/(0,-3)/(3,0)/(-3,-4)/(3,-2)"
NinosHeroesJalisco2024,5.33,f,A,0,4,"(0,5) / (-5,1) / (0,3) / (2,-1) / (0,-2) / (-3,0) / (0,-1) / (-4,0) / (4,0) / (-4,0) / (4,-3) / (0,-2) / (-2,-2)",7,"(0,5)/(0,2)/(2,1)/(-2,3)/(0,5)/(1,-3)/(3,0)/(2,-2)"
NinosHeroesJalisco2024,5.33,f,A,0,5,"(-2,0) / (-4,-1) / (0,3) / (-3,-3) / (-2,-2) / (5,0) / (-3,-3) / (-2,-5) / (0,-2) / (4,0) / (2,0) / (-4,-2)",6,"(6,0)/(-2,0)/(0,-4)/(1,2)/(3,3)/(3,-5)/(2,0)"
NinosHeroesJalisco2024,5.33,f,A,1,1,"(0,2) / (0,3) / (-3,3) / (-5,-5) / (-3,0) / (-1,-4) / (4,0) / (3,0) / (3,0) / (-1,-3) / (-5,-2) / (-2,-1)",6,"(-2,1)/(1,0)/(-3,-1)/(0,-3)/(0,-3)/(0,-1)/(3,-2)"
NinosHeroesJalisco2024,5.33,f,A,1,2,"(0,2) / (6,0) / (0,-3) / (-2,-2) / (0,-3) / (5,-1) / (-2,0) / (3,0) / (-4,0) / (-5,0) / (-2,-3) / (0,-2) / (-2,0) / (0,-1)",7,"(0,3)/(2,-3)/(0,5)/(4,1)/(-1,-2)/(1,0)/(6,-3)/"
HessenOpen2019,5.33,f,B,0,1,"(-5,0) / (-1,2) / (0,-3) / (1,-2) / (5,-4) / (1,0) / (-3,-3) / (1,-2) / (4,0) / (-2,0) / (-5,-2) / (0,-4) /",8,"(5,1)/(3,2)/(-4,0)/(0,-5)/(-2,3)/(1,2)/(3,0)/(6,-2)/(2,0)"
HessenOpen2019,5.33,f,B,0,2,"(3,5) / (1,-5) / (-3,0) / (6,-3) / (2,-4) / (-2,0) / (-3,-3) / (3,0) / (-4,-2) / (4,-4) / (-4,0)",5,"(4,-2)/(4,-2)/(2,1)/(3,3)/(6,-4)/(3,-2)"
