competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,optimal_solution
PUCValCubo2026,f,A,0,3,U2 R F' U' R' U R' U' F U' R2,11, F R F' U2 F U F' U R' U R2
CampeonatoMineiro2026,2,A,0,4,U R' U2 F R' F R' F U2 F U,11, F R2 F' R2 F' R F' R2 U2 R' F
NordicSwedishChampionship2026,f,A,0,2,U' R2 U' F R2 U2 R U' R' U2 R',11, F U2 R2 F2 U R F' R2 U F' U
HvidovreApril2026,1,A,0,2,U' R F' R2 F' U2 F R2 U' R U2,11, F U2 F' U2 F' U F' U2 R2 U' R
MuggioSpring2026,1,C,0,1,U R' U F' R U' R F R2 U' R2,11, F U F' U F2 R' U2 R' U R' F'
UshuaiaOpen2026,1,A,1,1,U2 F U' R2 U2 R' U' R U2 F' R2,11, F U2 F2 U' F U2 R' U2 R U2 F'
NawiTlaxcala2026,f,A,0,2,R' F U' F2 R U2 R' F U' F' R',11, F U R U' R2 U F' U2 R U' F
YanchengSpringOpen2026,2,C,0,1,R F' R2 U F U2 F' U' R2 U' R',11, F U F' R2 U F2 U' R F' R2 F'
GANNegrosSpeedcubingOpen2026,1,B,0,1,U R' U' F U' F U' F2 U' F R',11, F U R2 U R U' R U' F' U2 F2
KingofPrussiaSpring2026,f,A,0,2,U' F U' R2 U' R2 F R' U' F U',11, F U F2 U' R U' R F2 U2 R2 U'
MidMarchSingapore2026,f,A,0,5,U F U' R U' R' U2 F' U2 F' U2,11, F U2 F' R2 F' R U2 F U2 F R2
MalmoCubingOpen2026,1,C,0,4,R' U' F R2 F' U' R2 U' F U F',11, F U R' U2 R' F' R' F U2 R' F
PinoySideEventsOpen2026,c,C,0,3,R F' R' U2 R F' R2 U R2 U' R2,11, F U2 R F2 R' F R' U R' U' R
ChellesOpen2026,1,B,0,3,R' F' R' F U2 R2 U' R' U R2 U2,11, F U F' R2 F U F2 U F' R' F
FoliaaoCuboSpeedManaus2026,f,B,0,1,R U' R2 U2 F U R' U2 R F2 U',11, F U2 F' U R U' F2 R2 F R2 F
GreenwoodsClockClash2026,c,C,0,3,U R' F U' F U' F2 U2 F U2 R2,11, F U F2 U F U2 R U2 R2 U' R'
DontInverlochUp2026,2,C,0,4,R' F2 R U2 R U2 R' U R' F R,11, F U F U R' U2 R F' U F' R'
SpeedsolvingXPucallpa2026,2,B,1,1,R' F R2 U' R' U2 R F' U2 R2 F',11, F U2 R' F2 U R' F' U R' F R'
DavisWinter2026,1,C,0,5,U' R2 F U' R U' R' U' F R2 F',11, F R2 F' U R U R' U F' R2 U
McBajaI2026,2,B,0,4,U' R U' F U R' U2 R' U' R U2,11, F U F R2 F U R U2 F' U F
WisconsinonIce2026,2,C,1,2,U R' U R2 F' R' U R' F U R2,11, F U2 F U' R U2 R2 F U F2 U'
MumbaiWinterOpen2025,1,B,0,4,R U' R2 F2 U F' R U' R' F R,11, F R2 F' U2 F' U R' F2 U2 F' U
Chaaswurfel2025,f,B,0,1,U2 R' F U' F U2 R2 F' R' F U2,11, F R2 F2 U2 R' U' R U' F2 U R'
KirkkonummenJouluvaantelyt2025,1,B,0,3,U' R' F U' R U R' U2 F U R,11, F U F R' F2 U R' F2 U2 R U'
BengalCubeOpen2025,2,B,0,2,U' R' F U2 R' U' R2 U' R2 U2 F',11, F U2 F2 R2 F U' F2 R U F2 R2
RedCrossSantaSolves2025,f,A,0,4,U R' F U' F U' F2 U2 F U2 R2,11, F U F2 U F U2 R U2 R2 U' R'
LagunaSpeedcubingOpenVII2025,d,C,1,1,U2 R' F U2 F R U' F U' F U2,11, F U2 F2 U' F' R2 F' R' F R' F
CampeonatoUruguayo2025,f,C,1,2,U R F U' F U' F U2 R2 U R,11, F U2 F' R' F' R' U2 F U2 F' U2
