competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,optimal_solution
555Puebla2026,1,D,0,1,U R' F' U' F' R U2 R F' R' U2,4, U F' R F2
AucklandNewcomerOpen2026,1,D,0,4,R U' F' U2 R2 U2 F R2 U2 R2 U',4, U F2 U R'
GhemAmmoVoiaDaCubaa2026,2,A,0,3,U' R' F R U R F U' F U2 R2,4, R2 U2 F2 R'
NOLACubeFest2026,1,B,0,1,U' R' U2 R2 U2 R2 U2 F U F R,4, F' U' F' R'
VltavaCubeApril2026,f,A,0,4,U' R U' F' U2 R' U' R F' U2 R',4, R' U2 F2 R2
MYHMUoSMFinalCubeOpen2026,1,F,0,2,U' R' F R U R F U' F U' F',4, F U F2 R'
CubingatSpencerPlaza2026,d,A,0,1,U R U2 R' U' R' U' R2 U2 F' U',4, U F U' R
KalmarCubing2026,f,A,0,3,U' R' U' R2 F' R' U R U2 R2 U2,4, U2 R2 F U2
Solvermalm2026,1,A,0,4,R U' R' U' R' U2 R U R' U2 R2,4, U2 R2 U' R
OhioUniversity2026,f,A,1,2,R' U' R2 U2 F' R2 U' F U' F R,4, R' F2 R2 U'
HurlubiksCubeMouscron2026,1,B,1,1,F U R2 U' R' U' R' U2 F R U,4, R F U' F2
SchwerinOpen2026,1,C,0,2,U2 R U' F' U2 R2 U2 F U2 R2 U2,4, F2 U R' U2
PuneSpringOpen2026,f,A,0,1,U' R' U2 R U R U' F' R2 U2 R,4, R F' U R'
PuneSpringOpen2026,1,B,0,3,U2 R U' R' U' R U2 R' U R' U2,4, U2 R2 U R'
McBajaI2026,1,A,0,1,U' R' F R U R' F2 R U' R' U',4, U F' R U'
BravoBKKCubeMaster2026,1,C,0,1,R' F' U' F' U2 R2 F' U2 R' U R,4, U R2 U' F2
CubetecUEAManaus2025,f,C,0,2,R' U' F R' U2 F' U' F R U' R',4, R2 F2 U F
KamppiCubeWeekend2025,1,B,1,2,U2 R' U2 F' R2 U' R' U R' U' F2,4, F R' F2 U
OberlinBigCubes2025,1,B,1,1,U R' U' R U R F' R2 F U R,4, U' R U2 F2
ViennaAutumn2025,2,A,0,1,U R' F R U2 R' F2 U' F U' R,4, R2 U2 R F2
TrujilloCubingFest2025,f,B,0,1,U R U' F' R' F R U R' U' F,4, F2 R F R'
CubeZoneKatowice2025,f,C,0,4,R U' R2 U2 R U' R' U' R U2 R,4, R' U R U
HefeiOpen2025,d,D,0,5,R U' R' U R U' R' U' R' U' R,4, U R2 U R'
IINovaCarapinaChallenge2025,1,D,0,3,U R' U' R2 F' R2 U' R U R U',4, U2 R U F
EnergyCubeBialoleka2025,1,B,0,1,U R' U' F U' R U R' F' U' F',4, F U2 F' R
CriciumaOpen2025,1,A,0,5,R' U' F R U R F R U2 R' U',4, U F2 U' F2
LaCoteOpen2025,1,B,1,1,R U' R' U' R U' F' U' R' U' R',4, U2 F' U2 R2
SolveWellinWellington2025,2,A,0,2,R' F R F U' F' U' R U' R' U2,4, U F U F
SpeedcubeManiaCoacalco2025,1,A,0,1,R U' R' U' R2 F' R' U R U2 R',4, R F U2 R'
SantoDomingoSummer2025,d,B,1,1,R' U2 R2 U2 R' U R' F' U2 F R,4, F R' F' R2
CubingintheCornfieldsIA2025,2,B,0,4,R' U2 R2 F' U2 R' U R' F U2 R2,4, R' F2 U2 F
PerthWinter2025,2,C,0,4,R' F' U' F R U' R' U' F R U,4, F R2 U' F'
70AnosFatimaMontevideo2025,f,C,0,3,R U' R' U' R' U2 F' R U' R' U',4, R' U F' R'
PrimaveraUrbanaVillavicencio2025,d,B,1,2,R' U' F' U' R' F R U R F' U',4, R' U R F2
IntercolegiadoSantander2025,f,A,0,1,R' F R U2 F R U' R' U' F U2,4, U2 F' U' F'
NSWStateChampionship2025,f,A,0,3,U R U' R2 U2 R2 U2 R2 U' F R2,4, R2 F' R' U'
ManchesterSpring2025,1,A,1,1,U' R' U2 R U R U' R2 U2 R' U2,4, U2 R' U R'
BoltonSpring2025,d,C,0,2,U' R' F U' F R U' R' U F R,4, R' F2 U R
QueensparkOClock2025,2,B,0,2,R' U' R2 U' F' U' R' U' R' U2 F,4, F2 U R' U'
IzmirOpen2025,1,C,1,1,R F' U' F' R' U2 R' F R U' R,4, R' U2 R F2
FitchburgFingertricks2025,1,C,0,2,F U' F R U2 R' U2 R U R' F',4, U2 F U2 F2
CrevalcorealCubo2025,f,A,0,2,U' R' U2 R U R U' F' R2 U2 R,4, R F' U R'
CrevalcorealCubo2025,2,A,0,2,U2 F2 U' R U R U' R' U' R' U2,4, U' F2 U2 R'
JesuitinasTxantreaOpen2025,2,B,0,3,R U' R2 U' F' R U R2 U' R' U',4, F R U2 R'
PlazaMaderoChiaIII2025,f,B,1,2,R U' R' U' R U2 R' U R U2 F',4, F U' R' U2
TCGSpacelVSantaAnita2025,f,B,0,5,U2 R' F' R U2 R' F R U R' U',4, U F2 R U
LigaSLPJornadaNegro2024,1,A,0,2,R' U2 F U2 R U' R' U' F' U' F,4, F' R' F' R2
GallopinKentuckyWinter2024,2,B,1,2,U' R' U' R2 F' R' U R' U2 F U2,4, F2 U2 F2 R2
OpenChristmasCubeHuancayo2024,2,D,0,3,U R U' R' U' R' U' R U' R' U',4, U R U2 R
BristolWinterBeginners2024,c,B,0,5,U' R' F' U' F R2 U2 R2 F R2 U',4, R F U F2
TurnNSolveCaMaNaVa2024,c,B,0,4,R U' F' U' R2 U F U R U R,4, R' U' F2 R2
