competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,optimal_solution
AnsanFavorites2026,f,A,0,2,U R' U R U R U2 R2 F U2 R,5, F2 U F R F
SanCristobal2026,1,A,0,4,R' U' R2 U2 R2 F R U' R' U2 F',5, R' F R' U' R
VltavaCubeFebruary2026,1,B,0,2,U R' F' U F R2 U2 R2 F U' R2,5, R' F U F2 U2
AarhusWinter2026,f,C,0,1,R U2 F R U' R' U2 R U' R' F',5, R' U' F U F
MaunulanKuutionvaantelyt2026,1,B,1,2,U' R' U2 R U R' U2 F2 U2 R2 U2,5, F2 U' R2 U' R'
MumbaiCubeFiesta2026,1,A,0,3,R' U2 R' U2 F' U' F R U R' U',5, F' U' F U2 R2
SeoulWinter2026,1,D,0,4,U R' F R U' R U2 R' U' R U',5, R' U R' F2 R
TaranconOpen2026,1,D,0,1,U' R' U' R2 U2 F' R' U' R' F U',5, R' U' F' U R'
SwisscubingCupI2026,f,A,0,3,R U' R' U' R F' R2 U' R U2 R,5, R' U F' U' R
HungarianAllRounder12026,1,B,1,1,R' F' U' F' R2 U' R' U2 R' U' F',5, R' F R' U' F
CubingatTheCube2026,1,B,0,5,U' R' U2 F' R2 U' R' U R' U R',5, R U2 F' R' F2
BeijingWinter2026,2,B,0,1,U' R' U' R U R U' R U' R' U2,5, U R U2 R' U
RhonOpen2026,f,B,0,2,R' U' R' U' R U R U' F' R' U,5, F U2 R F U2
LugoOpen2026,f,A,0,3,U' R' U2 R U R' F U F2 R U',5, F' U2 F' U2 F
Chaaswurfel2025,1,A,0,1,U' R' U' F' R2 U' R' U' R' U' F,5, F2 R' U' R' F
KalanjiamCubingChallenge2025,1,A,1,1,R' U' F' U' R U' R' U2 F' U' R',5, U' R' U' R F2
NacionalesElSalvador2025,f,A,0,5,U R F U' F U2 R U2 R' U' R2,5, R' U' F2 R' U
GeorgetownSideEvents2025,1,A,0,2,R U' R' U' R U2 F' R2 U' R U,5, U2 F' U' R U2
NewZealandNationals2025,1,E,1,2,F U' F U2 F' R U' R' U' F U',5, F2 U R' F R
DragonCubingXI2025,1,B,0,4,R F U' F U2 R U R' U' F R2,5, R2 U' F2 R' F'
SpanishChampionship2025,2,B,0,2,R' U' R U' R' F R U R U' R2,5, F' U' R U2 R
RotacubeGaziantepOpen2025,1,B,0,3,U2 R' U2 F U2 R2 U2 F' R2 U2 R,5, R F2 U2 R U2
BacktoMombasa2025,1,A,0,1,U R U2 R' U' R U' R' U' F R,5, F' U F R2 F'
MRUlaanbaatar2025,1,D,1,2,R' U2 R2 F' U2 R2 U2 F U' F U2,5, U2 F' U F2 R'
MinnesotaChampionship2025,1,A,1,2,R' F U2 F' U' F R U2 R' F R,5, R' F2 R' F R2
HvidovreOpen2025,1,C,1,1,U' R' F U2 R U' R2 U' R2 F2 R,5, F2 U' R F2 U'
DesafioRubiksGuatemala2025,1,F,0,5,U' R' U2 R U R' F' U2 F R U2,5, U2 F R' F' U
SogndalOpen2025,1,B,0,1,U' R U' R' U' R' U' R U2 R' U',5, U R U' R U2
GlasgowAutumnBeginners2025,1,B,0,1,R F' U' F' U' R' U' R' F U2 R,5, R U2 R2 U' F2
NanchangWinter2025,1,A,0,2,U' R U' R' U' R U2 R' U R' U',5, U R2 U R' U'
OberlinBigCubes2025,1,B,0,1,U' R F' U' F' U' R' U' R' F U,5, U' R2 U F2 U
BalamCubesBaywalkSides2025,1,A,1,2,U2 R' U' F U' R U R' F' U' R,5, R' U2 F' R U'
HalifaxFall2025,1,A,0,1,F' R2 F' U' R U R U2 R' U' R',5, U F' R2 U2 F
CampeonatodoCerrado2025,2,B,0,2,R' F' U R2 U2 R' U' R' U2 F' R,5, R2 F2 R' F' U2
PolishChampionship2025,d,A,1,2,R' F R U2 R U2 R' U' R' U2 F2,5, R' F2 U F' U2
NilvangeOpen2025,1,C,0,4,U' R U' R' F' R' U2 R' U' F2 R,5, R2 F2 U' R F'
ClockingManiaCoacalco2025,1,C,0,2,R U2 R' U2 R U R' U R U2 R',5, F' R U' R' F2
LasPinasOpenIII2025,c,A,1,1,U' R' F U' F R U' R U2 R2 U2,5, R2 U' F' U R
CubingATMOSphere2025,1,E,0,2,U' R U' F' U2 R' U2 R' F' R U,5, R F U R2 U2
CubingComicfestCaliII2025,d,B,0,5,R' F' R F U2 R U R U2 R' U2,5, U2 R' F U2 R2
KCKC8CubingforCake2025,1,C,0,5,U' R' U2 F' U2 R2 U2 R2 U' F2 R,5, F2 U R2 F' U'
ctOpenHannover2025,1,B,0,5,R' F' U' F' R2 F' U' R' U2 R' U',5, F' R' F R' F
AlbaceteOpen2025,f,B,1,2,U R U2 R' U R' F R U R' F,5, F R F2 U' F'
HampshireAutumn2025,1,A,1,1,R U2 R' U' R' F2 R U R' U2 R2,5, F' R2 F U2 R
RockyMountainChampionship2025,d,C,0,1,R' U' R U' F U' F2 U' R U' R',5, R2 F' R F2 R2
CAUaoCubo2025,f,A,0,2,U R' U' F2 U2 F R U' R' U2 R,5, R' F' U F2 R
RutaCuberaAiguesOpen2025,1,C,1,2,U R U' R2 F' U' R U R U2 F,5, F' U R' F R
BodocoOpen2025,1,D,0,5,U R U' F' U2 R' U' R U2 F' U',5, U F U2 F R2
