competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_movecount,movecount_solution
MumbaiTwistathon2024,8.2,c,B,2,UR1- DR3- DL2+ UL3- U2+ R1+ D2- L1+ ALL2- y2 U5+ R2- D1+ L4- ALL2-,8,DR3+ U2+ y2 dl3+ dr1+ D3- U5- L4+ DR2+
MumbaiTwistathon2024,8.2,c,B,3,UR1+ DR2+ DL4+ UL5- U5- R4- D5+ L4+ ALL2+ y2 U2- R2- D3- L6+ ALL2+,9,DR1+ UL3- dl2- y2 ul4- dl4- R2+ U1- UL3+ DL3+
MumbaiTwistathon2024,8.2,c,B,4,UR4+ DR1+ DL2+ UL5+ U2- R6+ D1+ L4+ ALL0+ y2 U0+ R2+ D0+ L0+ ALL1-,8,DL4- UL5+ R1+ /1+ y2 ul2+ dl3+ dr4- R2-
MumbaiTwistathon2024,8.2,c,B,5,UR3+ DR3- DL3+ UL4+ U3+ R4- D3+ L3+ ALL2- y2 U5+ R4- D4+ L0+ ALL4-,9,UL2+ R4+ D3- /1- y2 ur2+ D4- R3- UR5- /3-
LakeConstanceCubing2022,8.2,d,B,1,UR5- DR0+ DL2+ UL6+ U3- R5+ D3- L3+ ALL3+ y2 U1+ R5- D2- L0+ ALL3+ DL,8,DL1+ U2+ ur1+ y2 dl6+ dr5+ R3+ U1- DR2+
LakeConstanceCubing2022,8.2,d,B,2,UR4- DR2- DL3- UL0+ U1- R1+ D2- L5- ALL0+ y2 U0+ R0+ D1+ L2+ ALL1- UR DL,7,UR5+ DL4- D1- ur4+ y2 D1+ DL2- /1-
LakeConstanceCubing2022,8.2,d,B,3,UR4- DR6+ DL6+ UL2+ U2+ R1- D5- L5- ALL6+ y2 U3+ R4+ D1- L5+ ALL2- UR,10,DR1- DL3- D3- y2 ul1+ dl2- U3- L2+ DL5+ DR4- /4+
LakeConstanceCubing2022,8.2,d,B,4,UR5+ DR6+ DL1+ UL4- U4+ R5- D5+ L0+ ALL3+ y2 U6+ R3+ D3- L4- ALL1+ DR UL,9,UR5- R1- L3+ y2 ul1- D1- R3+ DL4+ UR6+ \2-
LakeConstanceCubing2022,8.2,d,B,5,UR4+ DR4- DL1+ UL3+ U4- R3+ D3+ L4+ ALL0+ y2 U6+ R6+ D2- L0+ ALL2+ UR UL,7,UR3- L4+ \1+ y2 ur1+ D2+ UR6+ \3+
LatvianOpen2016,8.2,f,A,1,UR0+ DR3+ DL4- UL1+ U0+ R3- D0+ L4+ ALL1+ y2 U6+ R2+ D2- L5+ ALL5+ DR DL,9,UL1- D1+ \2- y2 D1- R2- U2+ UL4+ DL3+ /2+
LatvianOpen2016,8.2,f,A,2,UR5+ DR3+ DL5+ UL2- U2+ R4- D2- L3+ ALL4+ y2 U1- R6+ D1+ L1+ ALL6+ DR UL,9,UR5- DL6- R1+ /3+ ALL5+ y2 U6+ L1- DR1- UR5-
LatvianOpen2016,8.2,f,A,3,UR3+ DR4- DL1- UL3+ U6+ R5+ D3+ L4- ALL5- y2 U4- R4- D1+ L1- ALL3+ UR DR DL UL,9,DL2+ R4- ul4- y2 R2+ UL1+ DR1- UR3+ /2- ALL2+
LatvianOpen2016,8.2,f,A,4,UR1- DR1- DL0+ UL6+ U2- R2+ D1+ L3- ALL4- y2 U1+ R5+ D3- L5+ ALL3+ UR DL UL,7,UL3- ur5+ y2 UL1- DL4- DR5- \3- ALL2+
LatvianOpen2016,8.2,f,A,5,UR3- DR6+ DL4- UL6+ U3- R1+ D2- L2- ALL1+ y2 U3+ R3- D0+ L3- ALL3+ UR DR UL,7,R4- ur4- ALL4- y2 R3+ L6+ UL3- \6+
