competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,movecount_solution
Cube4funLublinFebruary2026,8.0,d,A,0,4,UR4+ DR3- DL0+ UL1+ U2+ R4+ D3+ L2+ ALL0+ y2 U3- R3- D0+ L1- ALL0+,7,UR4- UL3- R1- dr5- y2 ur3+ L1+ UR3+
Cube4funLublinFebruary2026,8.0,d,A,0,5,UR4+ DR4+ DL5- UL4+ U6+ R1- D1- L2+ ALL5+ y2 U5- R6+ D2- L4- ALL1-,11,DR3+ DL1- U2- R2+ \4+ y2 ur5+ U1+ L4+ DR2+ UR4+ ALL2+
Cube4funLublinFebruary2026,8.0,d,A,1,1,UR2+ DR6+ DL0+ UL2+ U4- R6+ D2- L2+ ALL4- y2 U2+ R2- D0+ L4- ALL0+,8,UR2- DL4- U2+ \4- y2 ur6+ U4+ UL4+ UR2+
Cube4funLublinFebruary2026,8.0,d,A,1,2,UR3+ DR4- DL2- UL2+ U2+ R5- D1- L5- ALL3+ y2 U2+ R0+ D0+ L5+ ALL2-,8,DL5- UL2- U5- R6- ul4- \5+ y2 L3- UL2-
CubeOninRichardson2025,8.0,d,A,0,1,UR6+ DR4- DL4+ UL1- U1- R0+ D3- L1+ ALL3- y2 U5+ R5+ D0+ L6+ ALL3-,8,UL4- R2- D3+ ur4+ y2 ur4+ U6+ UL6+ UR5-
CubeOninRichardson2025,8.0,d,A,0,2,UR0+ DR2- DL1+ UL0+ U1+ R1+ D2- L2+ ALL1+ y2 U1+ R1+ D2+ L2+ ALL1+,7,DL3+ UL1- R1+ L5- y2 ul4- DL2- UR1-
CubeOninRichardson2025,8.0,d,A,0,3,UR2- DR5+ DL3+ UL3- U3+ R5- D4- L6+ ALL5+ y2 U4+ R1- D3- L5- ALL2+,10,UR2+ DL3- D1- L3- ALL3- y2 dl3+ D2- R1+ U4- DL5+
CubeOninRichardson2025,8.0,d,A,0,4,UR2- DR5+ DL4- UL0+ U6+ R3+ D5- L5- ALL5+ y2 U2+ R3+ D5- L4+ ALL2-,10,UR2+ DR4+ U6- L3- y2 ul1+ ur1- U2- DL4- DR3- ALL5-
CubeOninRichardson2025,8.0,d,A,0,5,UR3+ DR2- DL3+ UL5- U5+ R1+ D2+ L1- ALL3+ y2 U4- R4+ D0+ L4- ALL0+,9,DR2- UL3- D1- L6- \3+ y2 ur4+ R4+ L4+ UR4+
CubeOninRichardson2025,8.0,d,A,1,1,UR5- DR5- DL5- UL5+ U3+ R2+ D0+ L6+ ALL2- y2 U2+ R0+ D6+ L2+ ALL5+,9,UR2- DR2- U1- L6- y2 ul5+ dr5+ D6+ UL2- \5-
CubeOninRichardson2025,8.0,d,A,1,2,UR1+ DR2- DL5- UL2+ U3- R4- D3- L3+ ALL5+ y2 U5+ R0+ D0+ L0+ ALL1+,7,DR5+ D5+ ur6- dr1- /3+ y2 U5- /1-
VinaCubingFestVSC2025,8.0,f,A,0,1,UR1- DR1+ DL2+ UL1+ U4- R0+ D5- L1- ALL5+ y2 U2+ R1- D0+ L5+ ALL0+,8,DL2+ U4+ L4- y2 R1+ U3+ UL5- /4- \1-
VinaCubingFestVSC2025,8.0,f,A,0,2,UR2+ DR6+ DL5- UL0+ U5- R5- D5+ L1- ALL2+ y2 U5+ R3- D5+ L3- ALL1-,9,UR3+ DR6- L6- dl2- y2 R4- L4- UL5- DR5- ALL3+
VinaCubingFestVSC2025,8.0,f,A,0,3,UR2+ DR2- DL4- UL5- U0+ R5- D5+ L1+ ALL4- y2 U4- R5+ D3+ L5+ ALL4-,10,UR3+ DR2+ D1- L4- y2 dl4+ D1+ L2+ UL5+ DR4- UR1-
VinaCubingFestVSC2025,8.0,f,A,0,4,UR5- DR3+ DL4- UL2- U5- R5+ D3- L2+ ALL3+ y2 U0+ R3+ D0+ L4+ ALL3+,7,DL4+ R3- dr2- dl5- y2 ur3- R3- L4-
VinaCubingFestVSC2025,8.0,f,A,0,5,UR3+ DR1- DL3- UL2+ U0+ R3- D3- L3+ ALL5+ y2 U4- R4+ D6+ L5+ ALL2+,10,DR1+ UL2- U3- D6- \5- y2 R2+ U4+ L5- DR6+ /4+
VinaCubingFestVSC2025,8.0,f,A,1,1,UR1+ DR3- DL1- UL3- U4- R4+ D3+ L2- ALL5+ y2 U4- R5- D1- L1- ALL5+,9,UR1- DL1+ UL5- R1- L2- ul4- y2 R1+ DL1+ UR4+
