competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,optimal_simulcount,simulcount_solution
RareEventsAthens2024,5.33,d,A,2,UR2+ DR1- DL6+ UL5- U1+ R3- D6+ L5+ ALL4- y2 U5+ R2- D0+ L0+ ALL5+,6,"UR(2,-3) DL(6,1) R(0,5) D(-5,0) ul(-1,5) \(3,0)"
RareEventsAthens2024,5.33,d,A,3,UR1+ DR1+ DL1+ UL5- U3- R3- D4- L4+ ALL6+ y2 U4+ R4- D4- L0+ ALL1-,6,"UR(-5,0) DR(6,0) D(-4,4) ur(-3,0) dl(-4,-4) \(0,-5)"
RareEventsAthens2024,5.33,d,A,4,UR1+ DR4- DL1+ UL5- U3- R3- D1+ L1- ALL6+ y2 U0+ R2+ D3+ L3- ALL5-,5,"DR(2,-3) U(-5,3) R(4,2) L(5,-3) \(1,-2)"
RareEventsAthens2024,5.33,d,A,5,UR2+ DR2- DL0+ UL4+ U4- R0+ D2+ L2- ALL0+ y2 U4+ R5+ D3- L4- ALL3-,5,"UL(-2,0) ur(4,-4) dl(5,-3) ul(0,-4) \(5,-2)"
SpokaneSummer2023,5.33,f,A,1,UR5- DR2- DL2+ UL2- U3+ R6+ D0+ L1+ ALL1- y2 U0+ R4+ D0+ L6+ ALL0+ DR UL,5,"UR(4,1) DL(0,-2) R(-3,4) L(-1,6) /(-2,1)"
SpokaneSummer2023,5.33,f,A,2,UR2- DR2- DL2+ UL3- U2+ R2+ D3+ L6+ ALL1- y2 U1+ R0+ D5+ L1- ALL3- UR DR DL UL,6,"UR(2,4) DL(-5,-5) U(1,6) D(2,1) dr(0,-1) \(5,-3)"
SpokaneSummer2023,5.33,f,A,3,UR2- DR4- DL1- UL3+ U1- R3+ D1+ L1- ALL0+ y2 U3- R3- D2+ L2+ ALL0+ UR DL UL,5,"DR(3,1) DL(1,-2) L(-2,0) dr(-1,2) ul(1,-3)"
SpokaneSummer2023,5.33,f,A,4,UR4+ DR1- DL4+ UL3- U4+ R2+ D1+ L4- ALL5- y2 U3- R5+ D1+ L1- ALL2+ UR DR DL UL,6,"UL(4,-2) U(3,1) R(-5,5) D(-4,-3) L(-1,-1) /(1,4)"
SpokaneSummer2023,5.33,f,A,5,UR1- DR1- DL1- UL3+ U2+ R0+ D3+ L0+ ALL5- y2 U0+ R3- D0+ L0+ ALL0+ UR DR,5,"UR(-4,2) DR(1,3) DL(-2,0) R(5,-3) /(0,-5)"
MeppelMayhem2026,5.67,c,A,1,UR4- DR2+ DL2+ UL5+ U5- R3+ D5+ L4- ALL4- y2 U4- R4- D1- L4+ ALL5-,6,"DR(-1,6) DL(4,2) U(4,-1) L(5,4) ul(6,-4) \(6,-5)"
MeppelMayhem2026,5.67,c,A,2,UR1+ DR3+ DL0+ UL1+ U5- R1+ D2+ L3+ ALL6+ y2 U2- R1- D4+ L1+ ALL4-,7,"UR(0,4) DR(-5,2) U(3,4) L(-4,2) ur(-4,-1) ul(0,-1) /(-2,0)"
MeppelMayhem2026,5.67,c,A,3,UR4- DR5- DL2- UL4+ U0+ R5- D3- L0+ ALL4- y2 U5+ R0+ D4+ L3- ALL4-,5,"DL(-2,5) R(2,0) ur(0,-3) dl(0,4) ul(-5,-4)"
MeppelMayhem2026,5.67,c,A,4,UR5+ DR1+ DL5- UL2+ U1- R3- D5- L3- ALL6+ y2 U6+ R0+ D1+ L5- ALL3+,5,"DR(-3,4) UL(6,-5) ur(-4,6) dr(0,1) /(4,-1)"
MeppelMayhem2026,5.67,c,A,5,UR3- DR5+ DL4+ UL2+ U2- R2+ D2- L0+ ALL3+ y2 U0+ R6+ D5- L2- ALL3+,6,"UR(3,-2) DR(5,0) L(6,-3) dr(2,1) dl(0,6) ul(-1,0)"
19MayisLobaAnkara2026,5.67,c,B,1,UR5- DR3- DL2+ UL0+ U3+ R1+ D6+ L2- ALL1+ y2 U6+ R5- D0+ L2- ALL6+,6,"UR(2,-5) UL(0,-3) R(5,-5) D(-5,-4) ur(0,-2) \(-5,0)"
19MayisLobaAnkara2026,5.67,c,B,2,UR1+ DR4+ DL4+ UL3+ U5- R6+ D4+ L5+ ALL0+ y2 U6+ R3+ D3+ L0+ ALL2+,5,"UR(1,1) D(0,6) dr(-1,0) dl(-4,3) \(6,4)"
19MayisLobaAnkara2026,5.67,c,B,3,UR1- DR0+ DL3- UL4- U3+ R4+ D0+ L3+ ALL2+ y2 U5+ R0+ D5- L5+ ALL5+,6,"UR(-3,-3) DL(3,1) UL(1,3) U(4,-5) ur(3,5) \(0,-3)"
19MayisLobaAnkara2026,5.67,c,B,4,UR6+ DR2- DL5- UL1- U5- R2- D2- L3- ALL5- y2 U5- R6+ D4+ L4+ ALL3+,5,"DL(-3,2) R(-2,-1) dr(6,4) ul(2,-5) \(4,0)"
19MayisLobaAnkara2026,5.67,c,B,5,UR6+ DR3+ DL6+ UL4+ U1- R6+ D5- L5- ALL2- y2 U1+ R5- D3- L4- ALL5-,7,"UR(0,-2) DR(-3,4) U(3,2) D(-1,1) L(-5,-4) dl(3,-5) \(3,0)"
NoveMestoOpen2026,5.67,d,A,1,UR3+ DR2- DL3- UL1- U2- R2+ D4+ L3+ ALL6+ y2 U0+ R5+ D1- L1+ ALL6+,5,"DL(1,5) R(-3,-5) ur(-2,2) dr(-3,-1) ul(-3,-2)"
NoveMestoOpen2026,5.67,d,A,2,UR2+ DR1+ DL5- UL3+ U0+ R3+ D5+ L2- ALL5+ y2 U5- R5- D3- L5+ ALL5+,5,"DR(6,-2) DL(5,2) U(-5,-3) L(-1,5) ul(-5,-5)"
